Study_word,Study_word_raw,Studyslider.response_raw,Studyslider.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
book,Pastry,3.014388489208633,1.370822833996499,0,0,0
cushion,T-shirt,1.9820143884892085,0.43941287499910686,1,0,1
phone,Keys,2.9964028776978417,0.4900512080057524,2,0,2
marble,Police,1.589928057553957,0.4070941660029348,3,0,3
board,marble,1.3597122302158273,0.4736994999984745,4,0,4
Laptop,board,2.2050359712230216,0.45681691599747865,5,0,5
Chart,Poster,1.1115107913669064,0.6070325830005459,6,0,6
T-shirt,book,1.9640287769784173,0.32428183300362434,7,0,7
mouse,Cruise,2.3453237410071943,0.35736154199548764,8,0,8
Pastry,Laptop,1.0179856115107915,1.0232502500002738,9,0,9
Case,cushion,1.9028776978417266,0.2904078329956974,10,0,10
Cruise,Case,2.2841726618705036,0.3409269590047188,11,0,11
Police,phone,2.539568345323741,0.4068011249983101,12,0,12
Keys,Chart,1.579136690647482,0.6899787500005914,13,0,13
Poster,mouse,2.672661870503597,0.9408946660041693,14,0,14

extraInfo
participant,4
session,001
date,2024-11-07_14h19.16.359
expName,primming 5.0
psychopyVersion,2024.2.4
frameRate,119.41855155251045
expStart,2024-11-07 14h19.22.788632 +0530
